playlists.items.track.albumName,playlists.items.track.artistName,playlists.items.track.trackName,playlists.items.track.trackUri,playlists.name
Curses from Past Times (Remastered),Proleter,Faidherbe Square (2018 Digital Remaster),spotify:track:2KohJVMbWIvuyOCJg0VSbh,HOmeWorK BANgers
Curses from Past Times EP,Proleter,April Showers,spotify:track:04KsMCb9PZE2S0AtUU8Jhb,Perfect Playlist Pt 2
Danger Days: The True Lives of the Fabulous Killjoys,My Chemical Romance,Na Na Na (Na Na Na Na Na Na Na Na Na),spotify:track:5BB0Jzw60KyfSTyjJqtely,The Knew
Dear Wormwood,The Oh Hellos,"Soldier, Poet, King",spotify:track:3xtiXNDbSKxy20I7D6vFUg,Missing Her
Dear Wormwood,The Oh Hellos,"Soldier, Poet, King",spotify:track:3xtiXNDbSKxy20I7D6vFUg,Perfect Playlist Pt 2
Dear Wormwood,The Oh Hellos,Thus Always To Tyrants,spotify:track:4ZZsSnVQXTMfYB2unKx7me,Missing Her
Dear Wormwood,The Oh Hellos,Thus Always To Tyrants,spotify:track:4ZZsSnVQXTMfYB2unKx7me,Perfect Playlist Pt 2
Dear Wormwood,The Oh Hellos,Thus Always To Tyrants,spotify:track:4ZZsSnVQXTMfYB2unKx7me,The Knew
Delirium Sonata,Tribe Society,Kings,spotify:track:1031dCHtkJhbtcxXCwKipv,The Knew
Desolation Boulevard,Sweet,Fox On The Run,spotify:track:4uip0lLkMKl1nwchsdXs1r,Rock Paper Scissors
Destiny,Proleter,Destiny,spotify:track:4MQwxyqhYMeIPvIG36Vq7x,HOmeWorK BANgers
Destiny,Proleter,Destiny,spotify:track:4MQwxyqhYMeIPvIG36Vq7x,Missing Her
Dirty Shirt Rock 'N' Roll: The First Ten Years,The Jon Spencer Blues Explosion,Bellbottoms,spotify:track:7sC9FifCXZHgjTAjFO1ykA,"1 or 11? Its Aces, Charles!"
Dirty Shirt Rock 'N' Roll: The First Ten Years,The Jon Spencer Blues Explosion,Bellbottoms,spotify:track:7sC9FifCXZHgjTAjFO1ykA,Missing Her
Disobey,Bad Wolves,Zombie,spotify:track:1eadPrzB2P0ikQcqhKSAtv,The Knew
Doctor Who Series 6,Murray Gold,The Majestic Tale (Of A Madman In A Box),spotify:track:1nS12P1Ely8F4tzeXPMsYr,"1 or 11? Its Aces, Charles!"
