playlists.items.track.albumName,playlists.items.track.artistName,playlists.items.track.trackName,playlists.items.track.trackUri,playlists.name
weird!,YUNGBLUD,parents,spotify:track:5v4OkFH0TJ6W1hCFxyn0px,The Knew
Welcome To The Monkey House,The Dandy Warhols,I Am Over It,spotify:track:12bXhqLyUIWK2S1bp3XdJt,Rock Paper Scissors
What Lana Says,Proleter,What Lana Says,spotify:track:5l1deuLMR3ZqRAdq5SpVeE,HOmeWorK BANgers
What We Live For,American Authors,I'm Born To Run,spotify:track:6zDs6zI94L761vd0cVScTT,The Knew
What Went Down,Foals,Mountain at My Gates,spotify:track:3f7OyfSoDbQC0LRDQiytPp,The Knew
What's Inside: Songs from Waitress,Sara Bareilles,She Used To Be Mine,spotify:track:2D4BSm5Z8Hq5zYbSgJwEOh,I Will Survive
When the Morning Comes,A Great Big World,Kaleidoscope,spotify:track:2SkJKMfjpYsNv0KWOxiegX,Missing Her
Where'd Your Weekend Go?,The Mowgli's,Alone Sometimes,spotify:track:0ne8iNLplH15M6EtgzPkf0,Missing Her
White Blood Cells,The White Stripes,Fell In Love With a Girl,spotify:track:21Qsj3cMVCx2xF2EVVNbEu,Missing Her
White Blood Cells,The White Stripes,Fell In Love With a Girl,spotify:track:21Qsj3cMVCx2xF2EVVNbEu,Rock Paper Scissors
Wild World,Bastille,Blame,spotify:track:7yrx5A6zDOsd7Bn02WvbLH,The Knew
Willy And The Poor Boys,Creedence Clearwater Revival,Fortunate Son,spotify:track:4BP3uh0hFLFRb5cjsgLqDh,"1 or 11? Its Aces, Charles!"
Willy And The Poor Boys,Creedence Clearwater Revival,Fortunate Son,spotify:track:4BP3uh0hFLFRb5cjsgLqDh,Rock Paper Scissors
With Love - EP,Oh Honey,I Love You Will Still Sound The Same,spotify:track:6KRddNr4XlooytDWtefT7L,Missing Her
Wolfmother,Wolfmother,Woman,spotify:track:3CkjLJYnnyOtGk4Jx4iYS4,Rock Paper Scissors
Wonderful Wonderful,The Killers,Run For Cover,spotify:track:5NAiPIEzxAexFE3ucV18Q8,The Knew
Woodland,The Paper Kites,Bloom - Bonus Track,spotify:track:1HMQmOWrkieKYWlFsjUP3D,Perfect Playlist Pt 2
Wrecked,Imagine Dragons,Wrecked,spotify:track:2d1MywHy6FwKdzxFuSJnwl,The Knew
You Don't Mess Around With Jim,Jim Croce,Time in a Bottle,spotify:track:561F1zqRwGPCTMRsLsXVtL,"1 or 11? Its Aces, Charles!"
You Forgot It In People,Broken Social Scene,Stars And Sons,spotify:track:34NxpUqK4BZmVB9Pe6VuUZ,Rock Paper Scissors
Young Adult,Ritt Momney,Young Adult,spotify:track:70pYds3cGjJv2hnPie9c0H,Perfect Playlist Pt 2
Young Chasers,Circa Waves,T-Shirt Weather,spotify:track:7MfNoHB8JRNbSQ8P3eAfMQ,The Knew
Youngblood,5 Seconds of Summer,Youngblood,spotify:track:2iUXsYOEPhVqEBwsqP70rE,The Knew
Youngblood Hawke,Youngblood Hawke,We Come Running,spotify:track:4Xv41B0BJRcMBJYpavNDfD,The Knew
Zephyrus,The Oh Hellos,Soap,spotify:track:6KdS8wTdix7afv3dqSjaW4,Perfect Playlist Pt 2
