danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,neg,neu,pos
0.623,0.785,2,-6.479,1,0.247,0.37,0.00494,0.413,0.476,75.056,217440,4,0.019,0.906,0.075
0.817,0.542,9,-10.07,0,0.263,0.0795,2.06e-05,0.302,0.481,115.009,292174,4,,,
0.817,0.542,9,-10.07,0,0.263,0.0795,2.06e-05,0.302,0.481,115.009,292174,4,,,
0.724,0.646,11,-6.071,0,0.256,0.306,0.0,0.126,0.47,100.006,163200,4,,,
0.724,0.646,11,-6.071,0,0.256,0.306,0.0,0.126,0.47,100.006,163200,4,,,
0.661,0.405,9,-9.319,0,0.263,0.575,0.0,0.108,0.427,148.019,265840,4,0.091,0.705,0.204
0.661,0.405,9,-9.319,0,0.263,0.575,0.0,0.108,0.427,148.019,265840,4,0.091,0.705,0.204
0.658,0.444,10,-12.058,0,0.222,0.561,0.0,0.244,0.705,149.83,168229,4,,,
0.658,0.444,10,-12.058,0,0.222,0.561,0.0,0.244,0.705,149.83,168229,4,,,
0.581,0.407,7,-9.451,0,0.0379,0.643,1.49e-06,0.139,0.292,94.935,224842,4,,,
0.581,0.407,7,-9.451,0,0.0379,0.643,1.49e-06,0.139,0.292,94.935,224842,4,,,
0.703,0.331,8,-9.72,1,0.514,0.445,0.0,0.322,0.18,80.118,259339,4,,,
0.703,0.331,8,-9.72,1,0.514,0.445,0.0,0.322,0.18,80.118,259339,4,,,
0.627,0.243,3,-7.075,1,0.0353,0.759,0.0,0.08,0.549,94.176,199149,4,,,
0.627,0.243,3,-7.075,1,0.0353,0.759,0.0,0.08,0.549,94.176,199149,4,,,
0.654,0.605,2,-9.031,1,0.136,0.377,0.0,0.0891,0.457,90.016,233227,4,,,
0.654,0.605,2,-9.031,1,0.136,0.377,0.0,0.0891,0.457,90.016,233227,4,,,
0.618,0.513,0,-6.58,0,0.13,0.196,0.0593,0.139,0.245,96.964,252329,4,0.1,0.677,0.223
0.618,0.513,0,-6.58,0,0.13,0.196,0.0593,0.139,0.245,96.964,252329,4,0.1,0.677,0.223
0.507,0.972,8,-2.723,1,0.087,0.0576,1.65e-05,0.14,0.797,120.076,201760,4,,,
0.507,0.972,8,-2.723,1,0.087,0.0576,1.65e-05,0.14,0.797,120.076,201760,4,,,
0.715,0.703,5,-3.825,1,0.0503,0.192,0.0,0.113,0.596,119.749,238320,4,0.094,0.71,0.196
0.715,0.703,5,-3.825,1,0.0503,0.192,0.0,0.113,0.596,119.749,238320,4,0.094,0.71,0.196
0.704,0.517,1,-7.581,1,0.04,0.00443,0.0199,0.108,0.305,145.95,180025,4,,,
0.704,0.517,1,-7.581,1,0.04,0.00443,0.0199,0.108,0.305,145.95,180025,4,,,
0.764,0.153,0,-12.392,1,0.0523,0.917,0.000134,0.118,0.24,84.249,198664,4,,,
0.764,0.153,0,-12.392,1,0.0523,0.917,0.000134,0.118,0.24,84.249,198664,4,,,
0.644,0.358,7,-13.502,1,0.237,0.746,2.83e-05,0.123,0.689,149.938,65787,4,,,
0.644,0.358,7,-13.502,1,0.237,0.746,2.83e-05,0.123,0.689,149.938,65787,4,,,
0.483,0.83,9,-5.953,1,0.0333,0.29,0.724,0.104,0.797,154.041,224642,4,,,
0.483,0.83,9,-5.953,1,0.0333,0.29,0.724,0.104,0.797,154.041,224642,4,,,
0.54,0.817,5,-4.844,1,0.0337,0.212,0.152,0.243,0.511,107.028,204673,4,,,
0.54,0.817,5,-4.844,1,0.0337,0.212,0.152,0.243,0.511,107.028,204673,4,,,
0.708,0.612,5,-6.379,0,0.122,0.0381,0.0,0.277,0.263,139.913,229013,4,0.08,0.766,0.154
0.708,0.612,5,-6.379,0,0.122,0.0381,0.0,0.277,0.263,139.913,229013,4,0.08,0.766,0.154
0.555,0.434,9,-13.79,0,0.333,0.528,0.0,0.102,0.125,100.516,116926,4,,,
0.555,0.434,9,-13.79,0,0.333,0.528,0.0,0.102,0.125,100.516,116926,4,,,
0.46,0.328,0,-12.415,0,0.292,0.817,1.23e-05,0.371,0.486,151.66,185093,5,,,
0.46,0.328,0,-12.415,0,0.292,0.817,1.23e-05,0.371,0.486,151.66,185093,5,,,
0.736,0.433,1,-13.486,1,0.192,0.0133,4.42e-05,0.0997,0.323,106.977,119510,4,,,
0.736,0.433,1,-13.486,1,0.192,0.0133,4.42e-05,0.0997,0.323,106.977,119510,4,,,
0.715,0.684,2,-8.138,1,0.549,0.152,0.0,0.473,0.767,89.963,130342,4,,,
0.715,0.684,2,-8.138,1,0.549,0.152,0.0,0.473,0.767,89.963,130342,4,,,
0.759,0.512,4,-9.694,1,0.0577,0.778,0.000192,0.111,0.274,130.042,307461,4,,,
0.759,0.512,4,-9.694,1,0.0577,0.778,0.000192,0.111,0.274,130.042,307461,4,,,
0.952,0.53,7,-6.891,1,0.0938,0.062,0.108,0.19,0.515,116.955,196232,4,,,
0.952,0.53,7,-6.891,1,0.0938,0.062,0.108,0.19,0.515,116.955,196232,4,,,
0.809,0.507,11,-7.226,1,0.0446,0.092,0.000569,0.129,0.364,109.973,216607,4,,,
0.809,0.507,11,-7.226,1,0.0446,0.092,0.000569,0.129,0.364,109.973,216607,4,,,
0.749,0.399,8,-7.526,1,0.0393,0.261,0.0126,0.0949,0.816,89.972,302001,4,,,
0.749,0.399,8,-7.526,1,0.0393,0.261,0.0126,0.0949,0.816,89.972,302001,4,,,
0.73,0.367,7,-11.665,1,0.0997,0.0702,1.68e-05,0.108,0.213,84.971,177882,4,,,
0.73,0.367,7,-11.665,1,0.0997,0.0702,1.68e-05,0.108,0.213,84.971,177882,4,,,
